Country,Position,Track Name,Artist,Streams,URL
australia,1,ROCKSTAR (feat. Roddy Ricch),DaBaby,232657,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
australia,2,Roses - Imanbek Remix,SAINt JHN,179708,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
australia,3,Breaking Me,Topic,174479,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
australia,4,Savage Love (Laxed - Siren Beat),Jawsh 685,170170,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
australia,5,Blinding Lights,The Weeknd,166988,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
australia,6,Watermelon Sugar,Harry Styles,160700,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
australia,7,Rain On Me (with Ariana Grande),Lady Gaga,136216,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
australia,8,Party Girl,StaySolidRocky,131284,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
australia,9,death bed (coffee for your head) (feat. beabadoobee),Powfu,127279,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
australia,10,Break My Heart,Dua Lipa,122104,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
australia,11,Stuck with U (with Justin Bieber),Ariana Grande,121595,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
australia,12,Supalonely,BENEE,120791,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
australia,13,Go Crazy,Chris Brown,120447,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
australia,14,Toosie Slide,Drake,117582,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
australia,15,Intentions (feat. Quavo),Justin Bieber,112586,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
australia,16,GO (feat. Juice WRLD),The Kid LAROI,106739,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
australia,17,Don't Start Now,Dua Lipa,102666,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
australia,18,ily (i love you baby) (feat. Emilee),Surf Mesa,99281,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
australia,19,Someone You Loved,Lewis Capaldi,97823,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
australia,20,Be Kind (with Halsey),Marshmello,96605,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
australia,21,This City,Sam Fischer,95465,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
australia,22,Sunday Best,Surfaces,93842,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
australia,23,Savage Remix (feat. Beyoncé),Megan Thee Stallion,93561,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
australia,24,Blueberry Faygo,Lil Mosey,93071,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
