Country,Position,Track Name,Artist,Streams,URL
brazil,1,Na Raba Toma Tapão,Niack,525859,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
brazil,2,Flores,Vitão,424590,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
brazil,3,Tudo Aconteceu,MC Du Black,371629,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
brazil,4,Saudade Sua,Gusttavo Lima,356843,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi
brazil,5,BRABA,Luísa Sonza,356170,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
brazil,6,Tudo no Sigilo (Vytinho Ng e MC Bianca),Vytinho NG,353655,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
brazil,7,Liberdade Provisória - Ao Vivo,Henrique & Juliano,342477,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
brazil,8,Litrão - Ao Vivo,Matheus & Kauan,341953,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
brazil,9,Volta por Baixo - Ao Vivo,Henrique & Juliano,335880,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
brazil,10,Te Prometo,Dennis DJ,331007,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
brazil,11,Ranking,Jorge & Mateus,322839,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
brazil,12,Graveto - Ao Vivo,Marília Mendonça,315477,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
brazil,13,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,300215,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
brazil,14,Don't Start Now,Dua Lipa,296481,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
brazil,15,ASAS,Luan Santana,287312,https://open.spotify.com/track/0j1tGcJJfq1nIs4i5GoHXv
brazil,16,Barzinho Aleatório - Ao Vivo,Zé Neto & Cristiano,286477,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
