Country,Position,Track Name,Artist,Streams,URL
switzerland,1,ROCKSTAR (feat. Roddy Ricch),DaBaby,54903,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
switzerland,2,Big Body Benz,Bonez MC,41227,https://open.spotify.com/track/2WOJ7D52Ng3myrKlEf4Azj
switzerland,3,Ich weiß nicht mal wie sie heißt,Capital Bra,37501,https://open.spotify.com/track/4KfL3Ne8bc9bC2PUB8QGwA
switzerland,4,Blinding Lights,The Weeknd,35090,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
switzerland,5,Roses - Imanbek Remix,SAINt JHN,35025,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
switzerland,6,Savage Love (Laxed - Siren Beat),Jawsh 685,33509,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
switzerland,7,MAMACITA,Black Eyed Peas,28861,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
switzerland,8,Breaking Me,Topic,27830,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
switzerland,9,Airwaves,Pashanim,27722,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
switzerland,10,ily (i love you baby) (feat. Emilee),Surf Mesa,25819,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
switzerland,11,Dance Monkey,Tones And I,25285,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
switzerland,12,Kings & Queens,Ava Max,23218,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
switzerland,13,Toosie Slide,Drake,22269,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
switzerland,14,Djomb - Bien ou quoi,Bosh,21847,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48
switzerland,15,death bed (coffee for your head) (feat. beabadoobee),Powfu,20753,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
switzerland,16,GOOBA,6ix9ine,20536,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
switzerland,17,Shakira,Kalazh44,20065,https://open.spotify.com/track/17tgK6f93CECWj0EC70RfQ
switzerland,18,Tusa,KAROL G,19667,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
switzerland,19,TKN (feat. Travis Scott),ROSALÍA,19137,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
switzerland,20,Watermelon Sugar,Harry Styles,19043,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
switzerland,21,Never Let Me Down,VIZE,18405,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
switzerland,22,Rain On Me (with Ariana Grande),Lady Gaga,18260,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
switzerland,23,Lose Somebody,Kygo,17890,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
switzerland,24,Emotions 2.0,Ufo361,17854,https://open.spotify.com/track/3yZCjDTxzZxx1kll1sRjGc
switzerland,25,In Your Eyes (feat. Alida),Robin Schulz,17706,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
switzerland,26,TROLLZ (with Nicki Minaj),6ix9ine,17606,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
switzerland,27,Party Girl,StaySolidRocky,17597,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
switzerland,28,Boot,Apache 207,16683,https://open.spotify.com/track/0rqY8g1Y1zaA4YwU6vhBQg
switzerland,29,Salt,Ava Max,16339,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
switzerland,30,THE SCOTTS,THE SCOTTS,16214,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
switzerland,31,Don't Start Now,Dua Lipa,15609,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
switzerland,32,Fame,Apache 207,15125,https://open.spotify.com/track/3goH7O78TLkV9RhCAyM4AT
switzerland,33,Supalonely,BENEE,14913,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
switzerland,34,MedMen,Jamule,14501,https://open.spotify.com/track/5t3PF7pHuiwwLbNCJ8mn4N
switzerland,35,Someone You Loved,Lewis Capaldi,14449,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
switzerland,36,Break My Heart,Dua Lipa,14449,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
switzerland,37,SoSo (feat. Dardan),Monet192,14338,https://open.spotify.com/track/6RYPJUBsL3w0k1CHKYtrRF
switzerland,38,Roadrunner,Bonez MC,14292,https://open.spotify.com/track/0BwO44CBPFWxAIO5ZbPf3N
