Country,Position,Track Name,Artist,Streams,URL
global,1,ROCKSTAR (feat. Roddy Ricch),DaBaby,5379475,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
global,2,Blinding Lights,The Weeknd,4614819,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
global,3,Roses - Imanbek Remix,SAINt JHN,3973534,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
global,4,Savage Love (Laxed - Siren Beat),Jawsh 685,3370880,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
global,5,death bed (coffee for your head) (feat. beabadoobee),Powfu,3267236,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
global,6,Rain On Me (with Ariana Grande),Lady Gaga,3251327,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
global,7,Watermelon Sugar,Harry Styles,3197769,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
global,8,Toosie Slide,Drake,3036794,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
global,9,Party Girl,StaySolidRocky,2763726,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
global,10,Don't Start Now,Dua Lipa,2737406,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
global,11,Dance Monkey,Tones And I,2661732,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
global,12,ily (i love you baby) (feat. Emilee),Surf Mesa,2635186,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
global,13,Break My Heart,Dua Lipa,2566224,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
global,14,Breaking Me,Topic,2535093,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
global,15,Blueberry Faygo,Lil Mosey,2444232,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
global,16,Stuck with U (with Justin Bieber),Ariana Grande,2262508,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
global,17,THE SCOTTS,THE SCOTTS,2247784,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
global,18,Supalonely,BENEE,2239487,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
global,19,The Box,Roddy Ricch,2222199,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
global,20,MAMACITA,Black Eyed Peas,2103096,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
global,21,GOOBA,6ix9ine,2065828,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
global,22,Someone You Loved,Lewis Capaldi,2032889,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
