Country,Position,Track Name,Artist,Streams,URL
us,1,ROCKSTAR (feat. Roddy Ricch),DaBaby,1521205,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
us,2,Party Girl,StaySolidRocky,1054184,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
us,3,Blueberry Faygo,Lil Mosey,941424,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
us,4,Blinding Lights,The Weeknd,915398,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
us,5,THE SCOTTS,THE SCOTTS,871482,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
us,6,Watermelon Sugar,Harry Styles,851956,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
us,7,The Bigger Picture,Lil Baby,822130,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
us,8,The Box,Roddy Ricch,768799,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
us,9,WHATS POPPIN,Jack Harlow,725071,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
us,10,Roses - Imanbek Remix,SAINt JHN,692220,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
us,11,Toosie Slide,Drake,683532,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
us,12,Walk Em Down (feat. Roddy Ricch),NLE Choppa,683302,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
us,13,Savage Remix (feat. Beyoncé),Megan Thee Stallion,682659,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
us,14,Rain On Me (with Ariana Grande),Lady Gaga,678023,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
us,15,After Party,Don Toliver,641056,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
us,16,Sunday Best,Surfaces,608145,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
us,17,death bed (coffee for your head) (feat. beabadoobee),Powfu,595357,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
