Country,Position,Track Name,Artist,Streams,URL
vietnam,1,từ chối nhẹ nhàng thôi,Bich Phuong,34970,https://open.spotify.com/track/6B1Io9VDzMAmwFjrplDJw8
vietnam,2,Một Cú Lừa,Bich Phuong,30751,https://open.spotify.com/track/2LKI0fGEKR3RWAiY2jqq8k
vietnam,3,em bỏ hút thuốc chưa?,Bich Phuong,25756,https://open.spotify.com/track/2IDZxVWQypWxYIP6wqDzGN
vietnam,4,Một Giấc Mơ (feat. Kimmese),Vũ.,17481,https://open.spotify.com/track/1CIR7UAbM5j9hcThZS8Dkz
vietnam,5,Play Date,Melanie Martinez,15828,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
vietnam,6,Sky Tour Intro,Sơn Tùng M-TP,15341,https://open.spotify.com/track/3cuFzsortMGytfYQ71PpUg
vietnam,7,Stay Gold,BTS,15200,https://open.spotify.com/track/0UwQTbq7ZtBJ7v530mpaxP
vietnam,8,Mascara,Chillies,15141,https://open.spotify.com/track/2Jaaw8PrdUfPlU6o6tL5dl
vietnam,9,Ke Cap Gap Ba Gia (feat. BINZ),Hoang Thuy Linh,14247,https://open.spotify.com/track/3HJ0EW4kd9S1NRCm039Fsk
vietnam,10,Sour Candy (with BLACKPINK),Lady Gaga,14224,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
vietnam,11,death bed (coffee for your head) (feat. beabadoobee),Powfu,13208,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
vietnam,12,Muốn Nói Với Em,T Team,12229,https://open.spotify.com/track/1HDrKXya87GMQfAGPlqNS9
vietnam,13,Vùng Ký Ức,Chillies,11919,https://open.spotify.com/track/1503Da6qbgNifRnRwIjtZe
vietnam,14,Một Cú Lừa (Đu Đưa Version),Bich Phuong,11638,https://open.spotify.com/track/2UEMPLkYBXGkqdxzJHlNxh
vietnam,15,Lối Nhỏ,Đen,11630,https://open.spotify.com/track/22F7P7QnaVspdf5rKveBaS
vietnam,16,Bài Này Chill Phết,Đen,10927,https://open.spotify.com/track/2AiZm17zqkV7llT3SHz4Nu
vietnam,17,Thanh Xuan,Da LAB,10702,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5
vietnam,18,Stuck with U (with Justin Bieber),Ariana Grande,10290,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
vietnam,19,yêu thì yêu không yêu thì yêu,AMEE,10150,https://open.spotify.com/track/2ZjtFgQ8W6WUJUAosmPN4Y
vietnam,20,Memories,Maroon 5,9994,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
vietnam,21,Buồn Thì Cứ Khóc Đi,Lynk Lee,9993,https://open.spotify.com/track/6iXGivPFpsqKmrINhIbPvx
vietnam,22,Chạy Ngay Đi (Sky Tour 2019),Sơn Tùng M-TP,9777,https://open.spotify.com/track/3MQjm78PRVb372BkzVtAjO
vietnam,23,Someone You Loved,Lewis Capaldi,9645,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
vietnam,24,Señorita,Shawn Mendes,9387,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
vietnam,25,Intentions (feat. Quavo),Justin Bieber,9365,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
vietnam,26,Có Em Đời Bỗng Vui,Chillies,9339,https://open.spotify.com/track/696w9BHmEY62myVCSDyrYW
vietnam,27,eight(Prod.&Feat. SUGA of BTS),IU,9038,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
vietnam,28,Hãy Trao Cho Anh,Sơn Tùng M-TP,8939,https://open.spotify.com/track/0f5yQttJS5nNxRAleF4kZO
vietnam,29,Rain On Me (with Ariana Grande),Lady Gaga,8819,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
vietnam,30,ily (i love you baby) (feat. Emilee),Surf Mesa,8770,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
vietnam,31,Và Thế Là Hết,Chillies,8754,https://open.spotify.com/track/0Bk064jKjWtfdOD8UkcImR
vietnam,32,Chúng Ta Không Thuộc Về Nhau (Sky Tour 2019),Sơn Tùng M-TP,8463,https://open.spotify.com/track/3fidy9x1CoAeDGZIsOTOKE
vietnam,33,Break My Heart,Dua Lipa,8183,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
vietnam,34,Duyen Am,Hoang Thuy Linh,8106,https://open.spotify.com/track/5dZHey2U2xrNpvgyop8URS
vietnam,35,MORE & MORE,TWICE,8029,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
vietnam,36,Lạ Lùng,Vũ.,7934,https://open.spotify.com/track/5Bti0azlFhMattVY76qFr9
vietnam,37,Dance Monkey,Tones And I,7761,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
vietnam,38,Let Me Down Slowly,Alec Benjamin,7700,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
vietnam,39,Lạc Trôi (Sky Tour 2019),Sơn Tùng M-TP,7629,https://open.spotify.com/track/37t9Z9e3sGpBsYlKOolrUB
vietnam,40,Đi Đu Đưa Đi,Bich Phuong,7620,https://open.spotify.com/track/2OZTkXYCNbZS9TwPRy52Js
vietnam,41,Cần Gì Hơn,Tien Tien,7590,https://open.spotify.com/track/4bCuBkeVRofawnFkGu05fu
vietnam,42,Mượn Rượu Tỏ Tình,BigDaddy,7542,https://open.spotify.com/track/3TXSdTpaqKBpWyUG3aJ3LK
vietnam,43,comethru (bonus track),Jeremy Zucker,7446,https://open.spotify.com/track/1pV9TLnQdOHbvourRO7x4m
vietnam,44,Say So,Doja Cat,7405,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
vietnam,45,Blinding Lights,The Weeknd,7337,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
vietnam,46,7 rings,Ariana Grande,7286,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
vietnam,47,Savage Love (Laxed - Siren Beat),Jawsh 685,6924,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
vietnam,48,LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,6672,https://open.spotify.com/track/7AzGrpsT9kTI6OUdMXlHWe
vietnam,49,Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,6601,https://open.spotify.com/track/031jyNUkkD02vrkgZDGJxu
vietnam,50,"Em Không Sai, Chúng Ta Sai",ERIK,6561,https://open.spotify.com/track/3yWacnoBnM0lrzLmXAk44d
vietnam,51,Can We Kiss Forever?,Kina,6554,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
vietnam,52,Don't Start Now,Dua Lipa,6552,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
vietnam,53,Em Của Ngày Hôm Qua (Sky Tour 2019),Sơn Tùng M-TP,6542,https://open.spotify.com/track/0msVGxdGh0ApoYekheII8k
vietnam,54,Be Kind (with Halsey),Marshmello,6516,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
vietnam,55,Cung Đàn Vỡ Đôi,Chi Pu,6473,https://open.spotify.com/track/5ZRsfmDqd04BcmCqJPB9AV
vietnam,56,Có Chàng Trai Viết Lên Cây,Phan Mạnh Quỳnh,6442,https://open.spotify.com/track/1U8bwOTAtnqlWMCn1mwYyj
