Country,Position,Track Name,Artist,Streams,URL
south africa,1,ROCKSTAR (feat. Roddy Ricch),DaBaby,11580,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
south africa,2,Blinding Lights,The Weeknd,9546,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
south africa,3,Toosie Slide,Drake,8669,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
south africa,4,Roses - Imanbek Remix,SAINt JHN,8268,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
south africa,5,The Box,Roddy Ricch,6841,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
south africa,6,THE SCOTTS,THE SCOTTS,6763,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
south africa,7,Blueberry Faygo,Lil Mosey,6657,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
south africa,8,Chicago Freestyle (feat. Giveon),Drake,6570,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
south africa,9,Party Girl,StaySolidRocky,6471,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
south africa,10,Life Is Good (feat. Drake),Future,6076,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
south africa,11,Someone You Loved,Lewis Capaldi,6035,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
south africa,12,Go Crazy,Chris Brown,5949,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
south africa,13,Intentions (feat. Quavo),Justin Bieber,5844,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
south africa,14,Dance Monkey,Tones And I,5759,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
south africa,15,Don't Start Now,Dua Lipa,5739,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
south africa,16,death bed (coffee for your head) (feat. beabadoobee),Powfu,5596,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
south africa,17,Circles,Post Malone,5444,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
south africa,18,Watermelon Sugar,Harry Styles,5393,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
south africa,19,Savage Love (Laxed - Siren Beat),Jawsh 685,5280,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
south africa,20,Falling,Trevor Daniel,5209,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
